RunNumber,EventNumber,LumiBlock,TimeStamp,TimeStampNS,BCID,extL1ID,triggerType,mu_pt,mu_eta,mu_phi,mu_E,mu_charge
479103,0,530,1719504303,533639560,853,2818828130,132,[],[],[],[],[]
479103,0,530,1719504321,901249935,900,2885794321,136,"[40.53023910522461, 3.0262012481689453, 2.841325521469116, 2.504204511642456]","[1.9166890382766724, -1.8766708374023438, 2.1322813034057617, -1.8704646825790405]","[-1.9502369165420532, -0.47329244017601013, -1.4570391178131104, -2.1387412548065186]","[140.75152587890625, 10.115360260009766, 12.150893211364746, 8.321346282958984]","[1, -1, 1, 1]"
479103,0,530,1719504325,702215925,93,2902465630,136,[25.247751235961914],[0.8148310780525208],[-0.924373209476471],[34.103668212890625],[1]
479103,0,531,1719504333,710284325,2785,2919512497,132,"[2.6449081897735596, 1.3806695938110352]","[-1.8522496223449707, 2.399737596511841]","[0.06696857511997223, -3.030524492263794]","[8.637629508972168, 7.671055316925049]","[-1, -1]"
479103,0,531,1719504338,250938010,2548,2936250706,132,"[28.881832122802734, 1.9150092601776123]","[0.8018603324890137, 2.2969741821289062]","[-3.041177749633789, 0.8837700486183167]","[38.675498962402344, 9.618341445922852]","[1, -1]"
479103,0,531,1719504344,59254620,554,2953100128,132,"[23.566970825195312, 17.58989906311035]","[2.1160147190093994, -1.6478763818740845]","[-0.9553713202476501, -0.6462090015411377]","[99.19947814941406, 47.390750885009766]","[-1, -1]"
479103,0,531,1719504356,932789725,1889,3003243867,136,"[5.4263129234313965, 4.109092712402344, 1.6047742366790771]","[1.7166558504104614, 2.2650623321533203, 2.3267629146575928]","[0.4690934717655182, -2.9208762645721436, 2.985933303833008]","[15.588934898376465, 20.00241470336914, 8.299229621887207]","[-1, -1, -1]"
479103,0,531,1719504364,31558580,2690,3020209977,136,"[18.51744842529297, 6.657303333282471, 2.9517531394958496]","[-1.8149328231811523, -1.75785231590271, 0.9778332710266113]","[-1.0057531595230103, -0.9382073283195496, 1.4659130573272705]","[58.36258316040039, 19.880260467529297, 4.480257511138916]","[-1, 1, -1]"
479103,0,532,1719504370,18598465,101,3037074338,132,[],[],[],[],[]
479103,0,532,1719504377,686512505,2056,3070422868,140,"[83.3409423828125, 4.012389659881592, 2.3289718627929688]","[1.6236553192138672, 1.75960373878479, 2.3174073696136475]","[-2.4314393997192383, -2.2139129638671875, 0.8090698719024658]","[219.55221557617188, 12.002019882202148, 11.933951377868652]","[-1, 1, 1]"
479103,0,532,1719504397,385578240,1693,3137508943,140,"[7.774268627166748, 3.117713212966919, 2.880127429962158, 6.638570785522461]","[-0.35507211089134216, -0.5016708374023438, 2.269928216934204, -0.20936381816864014]","[-2.3249051570892334, -2.5069832801818848, 0.2405085414648056, -2.2404770851135254]","[8.27018928527832, 3.5199198722839355, 14.087136268615723, 6.7854204177856445]","[1, -1, 1, 1]"
479103,0,532,1719504402,700981685,3062,3154315109,136,[20.998559951782227],[2.054485559463501],[-0.814253568649292],[83.26966094970703],[1]
479103,0,532,1719504402,918730510,1975,3154334654,132,[3.13678240776062],[0.04410535469651222],[-1.5040385723114014],[3.141611099243164],[-1]
479103,0,532,1719504417,85955660,441,3204593349,132,"[3.2236735820770264, 2.562770366668701]","[1.688614010810852, 1.767634630203247]","[-3.0306618213653564, -2.974170684814453]","[9.021666526794434, 7.724552631378174]","[-1, 1]"
479103,0,532,1719504417,207209620,2443,3204603966,140,[8.743205070495605],[-1.7482361793518066],[1.4047460556030273],[25.873729705810547],[1]
